GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ceara-bank-notificacao,br.com.unifametro.cearabank.notificacao.service,NotificacaoService,39,0,0,0,12,0,2,0,2,0
ceara-bank-notificacao,br.com.unifametro.cearabank.notificacao.controller,NotificacaoController,16,0,0,0,6,0,2,0,2,0
